Kods,Nosaukums,Vecāka kods,Spēkā no,Spēkā līdz,Līmenis,Saistītās klasif.
8.92,Kūdras ieguve,8.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
8.93,Sāls ieguve,8.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
8.99,Cita citur neklasificēta ieguves rūpniecība un karjeru izstrāde,8.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
9,Ar ieguves rūpniecību saistīti pakalpojumi,B,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
9.1,Ar naftas un dabas gāzes ieguvi saistītas atbalsta darbības,9,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
9.1,Ar naftas un dabas gāzes ieguvi saistītas atbalsta darbības,9.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
9.9,Ar citu ieguves rūpniecību un karjeru izstrādi saistītas atbalsta darbības,9,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
9.9,Ar citu ieguves rūpniecību un karjeru izstrādi saistītas atbalsta darbības,9.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
C,APSTRĀDES RŪPNIECĪBA,,01.01.2025,,1,NACE2 Vecā versija <-> Jaunā versija
10,Pārtikas produktu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
10.1,Gaļas pārstrāde un konservēšana un gaļas produktu ražošana,10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.11,"Gaļas pārstrāde un konservēšana, izņemot mājputnu gaļu",10.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.12,Mājputnu gaļas pārstrāde un konservēšana,10.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.13,Gaļas un mājputnu gaļas produktu ražošana,10.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.2,"Zivju, vēžveidīgo un mīkstmiešu pārstrāde un konservēšana",10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.2,"Zivju, vēžveidīgo un mīkstmiešu pārstrāde un konservēšana",10.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.3,Augļu un dārzeņu pārstrāde un konservēšana,10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.31,Kartupeļu pārstrāde un konservēšana,10.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.32,Augļu un dārzeņu sulas ražošana,10.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.39,Cita augļu un dārzeņu pārstrāde un konservēšana,10.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.4,Augu un dzīvnieku eļļu un tauku ražošana,10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.41,Eļļu un tauku ražošana,10.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.42,Margarīna un līdzīgu pārtikas tauku ražošana,10.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.5,Piena produktu un saldējuma ražošana,10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.51,Piena produktu ražošana,10.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.52,Saldējuma un citu saldētu desertu ražošana,10.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.6,"Graudu malšanas produktu, cietes un cietes produktu ražošana",10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.61,Graudu malšanas produktu ražošana,10.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.62,Cietes un cietes produktu ražošana,10.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.7,Konditorejas un miltu izstrādājumu ražošana,10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.71,Maizes ražošana; svaigi ceptu mīklas izstrādājumu un kūku ražošana,10.7,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.72,"Sausiņu, cepumu, ilgi uzglabājamu konditorejas izstrādājumu un kūku ražošana",10.7,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.73,Miltu izstrādājumu ražošana,10.7,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.8,Citu pārtikas produktu ražošana,10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.81,Cukura ražošana,10.8,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.82,"Kakao, šokolādes un cukura konditorejas izstrādājumu ražošana",10.8,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.83,Tējas un kafijas pārstrāde,10.8,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.84,Garšvielu un piedevu ražošana,10.8,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.85,Gatavu ēdienu ražošana,10.8,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.86,Homogenizētu pārtikas izstrādājumu un diētiskas pārtikas ražošana,10.8,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.89,Citur neklasificētu pārtikas produktu ražošana,10.8,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.9,Gatavas dzīvnieku barības ražošana,10,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
10.91,Gatavas lauksaimniecības dzīvnieku barības ražošana,10.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
10.92,Gatavas lolojumdzīvnieku barības ražošana,10.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
11,Dzērienu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
11,Dzērienu ražošana,11,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
11.01,"Spirtu destilēšana, rektificēšana un maisīšana",11,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
11.02,Vīna ražošana no vīnogām,11,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
11.03,Sidra un citu raudzētu augļu dzērienu ražošana,11,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
11.04,Citu nedestilētu raudzētu dzērienu ražošana,11,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
11.05,Alus ražošana,11,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
11.06,Iesala ražošana,11,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
11.07,Bezalkoholisku dzērienu un pudelēs pildītu ūdeņu ražošana,11,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
12,Tabakas izstrādājumu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
12,Tabakas izstrādājumu ražošana,12,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
12,Tabakas izstrādājumu ražošana,12,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13,Tekstilizstrādājumu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
13.1,Tekstilšķiedru sagatavošana un vērpšana,13,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
13.1,Tekstilšķiedru sagatavošana un vērpšana,13.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.2,Tekstilmateriālu aušana,13,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
13.2,Tekstilmateriālu aušana,13.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.3,Tekstilmateriālu un gatavu tekstilizstrādājumu apdare,13,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
13.3,Tekstilmateriālu un gatavu tekstilizstrādājumu apdare,13.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.9,Citu tekstilmateriālu un tekstilizstrādājumu ražošana,13,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
13.91,Trikotāžas audumu ražošana,13.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.92,Mājsaimniecības tekstilizstrādājumu un gatavu tekstila interjera priekšmetu ražošana,13.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.93,Paklāju un grīdsegu ražošana,13.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.94,"Tauvu, virvju, auklu un tīklu ražošana",13.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.95,"Neaustu drānu, tekstilmateriālu un tekstilizstrādājumu ražošana",13.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.96,Citu tehniski un rūpnieciski izmantojamu tekstilizstrādājumu ražošana,13.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
13.99,Citur neklasificētu tekstilizstrādājumu ražošana,13.9,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
14,Apģērbu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
14.1,Trikotāžas apģērbu un apģērbu piederumu ražošana,14,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
14.1,Trikotāžas apģērbu un apģērbu piederumu ražošana,14.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
14.2,Citu apģērbu un apģērbu piederumu ražošana,14,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
14.21,Virsdrēbju ražošana,14.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
14.22,Apakšveļas ražošana,14.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
14.23,Darba apģērbu ražošana,14.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
14.24,Ādas un kažokādu apģērbu ražošana,14.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
14.29,Citur neklasificētu apģērbu un apģērbu piederumu ražošana,14.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
15,Ādas un ar to saistītu izstrādājumu no citiem materiāliem ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
15.1,"Ādu un kažokādu miecēšana, krāsošana un apstrāde; ceļojuma somu, rokassomu, zirglietu un iejūgu ražošana",15,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
15.11,"Ādu un kažokādu miecēšana, apstrāde un krāsošana",15.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
15.12,"Ceļojuma somu, rokassomu, zirglietu un iejūgu ražošana no jebkāda materiāla",15.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
15.2,Apavu ražošana,15,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
15.2,Apavu ražošana,15.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16,"Koksnes un koka un korķa izstrādājumu ražošana, izņemot mēbeles; izstrādājumu ražošana no salmiem un pinamiem materiāliem",C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
16.1,Koku zāģēšana un koksnes ēvelēšana; koksnes apstrāde un apdare,16,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
16.11,Koku zāģēšana un koksnes ēvelēšana,16.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.12,Koksnes apstrāde un apdare,16.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.2,"Koka, korķa, salmu un pīto izstrādājumu ražošana",16,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
16.21,Finiera lokšņu un koksnes plātņu ražošana,16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.22,Parketa grīdu paneļu ražošana,16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.23,Citu galdnieku un namdaru būvizstrādājumu ražošana,16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.24,Koka taras ražošana,16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.25,Koka durvju un logu ražošana,16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.26,Cietā kurināmā ražošana no augu biomasas,16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.27,Koka izstrādājumu apdare,16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
16.28,"Citu koka izstrādājumu ražošana; korķa, salmu un pīto izstrādājumu ražošana",16.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
17,Papīra un papīra izstrādājumu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
17.1,"Celulozes, papīra un kartona ražošana",17,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
17.11,Celulozes ražošana,17.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
17.12,Papīra un kartona ražošana,17.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
17.2,Papīra un kartona izstrādājumu ražošana,17,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
17.21,Gofrēta papīra un kartona ražošana; papīra un kartona taras ražošana,17.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
17.22,"Sadzīves, higiēnas priekšmetu un tualetes piederumu ražošana",17.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
17.23,"Rakstāmpapīra, iespiedpapīra un papīra kancelejas preču ražošana",17.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
17.24,Tapešu ražošana,17.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
17.25,Citu papīra un kartona izstrādājumu ražošana,17.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
18,Poligrāfija un ierakstu reproducēšana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
18.1,Poligrāfija un ar to saistīti pakalpojumi,18,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
18.11,Laikrakstu iespiešana,18.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
18.12,Citu izdevumu iespiešana,18.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
18.13,Salikšana un iespiedformu izgatavošana,18.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
18.14,Iesiešana un ar to saistīti pakalpojumi,18.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
18.2,Ierakstu reproducēšana,18,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
18.2,Ierakstu reproducēšana,18.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
19,Koksa un naftas pārstrādes produktu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
19.1,Koksēšanas produktu ražošana,19,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
19.1,Koksēšanas produktu ražošana,19.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
19.2,Naftas pārstrādes produktu un fosilā kurināmā produktu ražošana,19,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
19.2,Naftas pārstrādes produktu un fosilā kurināmā produktu ražošana,19.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20,Ķīmisku vielu un ķīmisku produktu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
20.1,"Ķīmisko pamatvielu, minerālmēslu un slāpekļa savienojumu, plastmasu un sintētiskā kaučuka ražošana pirmformās",20,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
20.11,Rūpniecisko gāzu ražošana,20.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.12,Krāsvielu un pigmentu ražošana,20.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.13,Citu neorganisko ķīmisko pamatvielu ražošana,20.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.14,Citu organisko ķīmisko pamatvielu ražošana,20.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.15,"Minerālmēslu, citu mēslošanas līdzekļu un slāpekļa savienojumu ražošana",20.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.16,Plastmasu ražošana pirmformās,20.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.17,Sintētiskā kaučuka ražošana pirmformās,20.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.2,"Pesticīdu, dezinfekcijas līdzekļu un citu agroķīmisko preparātu ražošana",20,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
20.2,"Pesticīdu, dezinfekcijas līdzekļu un citu agroķīmisko preparātu ražošana",20.2,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.3,"Krāsu, laku un līdzīgu pārklājumu, tipogrāfijas krāsu un mastikas ražošana",20,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
20.3,"Krāsu, laku un līdzīgu pārklājumu, tipogrāfijas krāsu un mastikas ražošana",20.3,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.4,"Mazgāšanas, tīrīšanas un spodrināšanas līdzekļu ražošana",20,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
20.41,"Ziepju un mazgāšanas, tīrīšanas un spodrināšanas līdzekļu ražošana",20.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.42,Smaržu un ķermeņa kopšanas līdzekļu ražošana,20.4,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.5,Citu ķīmisku produktu ražošana,20,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
20.51,Šķidro biodegvielu ražošana,20.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.59,Citur neklasificētu ķīmisku produktu ražošana,20.5,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
20.6,Ķīmisko šķiedru ražošana,20,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
20.6,Ķīmisko šķiedru ražošana,20.6,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
21,Farmaceitisko pamatvielu un farmaceitisko preparātu ražošana,C,01.01.2025,,2,NACE2 Vecā versija <-> Jaunā versija
21.1,Farmaceitisko pamatvielu ražošana,21,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
21.1,Farmaceitisko pamatvielu ražošana,21.1,01.01.2025,,4,NACE2 Vecā versija <-> Jaunā versija
21.2,Farmaceitisko preparātu ražošana,21,01.01.2025,,3,NACE2 Vecā versija <-> Jaunā versija
